<Name>		<Nas>	 <type>
Order 	 	 0 	 integer
PID 	 	 0 	 integer
MS.SubClass 	 0 	 factor
MS.Zoning 	 0 	 factor
Lot.Frontage 	 490 	 integer
Lot.Area 	 	 0 	 integer
Street 	 	 0 	 factor
Alley 	 	 2732 	 factor
Lot.Shape 	 0 	 factor
Land.Contour 	 0 	 factor
Utilities 	 0 	 factor
Lot.Config 	 0 	 factor
Land.Slope 	 0 	 factor
Neighborhood 	 0 	 factor
Condition.1 	 0 	 factor
Condition.2 	 0 	 factor
Bldg.Type 	 0 	 factor
House.Style 	 0 	 factor
Overall.Qual 	 0 	 integer
Overall.Cond 	 0 	 integer
Year.Built 	 0 	 integer
Year.Remod.Add 	 0 	 integer
Roof.Style 	 0 	 factor
Roof.Matl 	 0 	 factor
Exterior.1st 	 0 	 factor
Exterior.2nd 	 0 	 factor
Mas.Vnr.Type 	 0 	 factor
Mas.Vnr.Area 	 23 	 integer
Exter.Qual 	 0 	 factor
Exter.Cond 	 0 	 factor
Foundation 	 0 	 factor
Bsmt.Qual 	 79 	 factor
Bsmt.Cond 	 79 	 factor
Bsmt.Exposure 	 79 	 factor
BsmtFin.Type.1 	 79 	 factor
BsmtFin.SF.1 	 1 	 integer
BsmtFin.Type.2 	 79 	 factor
BsmtFin.SF.2 	 1 	 integer
Bsmt.Unf.SF 	 1 	 integer
Total.Bsmt.SF 	 1 	 integer
Heating 	 	 0 	 factor
Heating.QC 	 0 	 factor
Central.Air 	 0 	 factor
Electrical 	 0 	 factor
X1st.Flr.SF 	 0 	 integer
X2nd.Flr.SF 	 0 	 integer
Low.Qual.Fin.SF  	 0 	 integer
Gr.Liv.Area 	 0 	 integer
Bsmt.Full.Bath 	 2 	 integer
Bsmt.Half.Bath 	 2 	 integer
Full.Bath 	 0 	 integer
Half.Bath 	 0 	 integer
Bedroom.AbvGr 	 0 	 integer
Kitchen.AbvGr 	 0 	 integer
Kitchen.Qual 	 0 	 factor
TotRms.AbvGrd 	 0 	 integer
Functional 	 0 	 factor
Fireplaces 	 0 	 integer
Fireplace.Qu 	 1422 	 factor
Garage.Type 	 157 	 factor
Garage.Yr.Blt 	 159 	 integer
Garage.Finish 	 157 	 factor
Garage.Cars 	 1 	 integer
Garage.Area 	 1 	 integer
Garage.Qual 	 158 	 factor
Garage.Cond 	 158 	 factor
Paved.Drive 	 0 	 factor
Wood.Deck.SF 	 0 	 integer
Open.Porch.SF 	 0 	 integer
Enclosed.Porch 	 0 	 integer
X3Ssn.Porch 	 0 	 integer
Screen.Porch 	 0 	 integer
Pool.Area 	 0 	 integer
Pool.QC 	 	 2917 	 factor
Fence 	 	 2358 	 factor
Misc.Feature 	 2824 	 factor
Misc.Val 	 	 0 	 integer
Mo.Sold 	 	 0 	 integer
Yr.Sold 	 	 0 	 integer
Sale.Type 	 0 	 factor
Sale.Condition 	 0 	 factor
SalePrice 	 0 	 integer
